,issuekey,storypoints,context
0,69522350,10,ca create new character summary no matter error unique constraint fail step reproduce create new account try create character click create relevant log screenshot veloren version use latest nightly airshipper connect default server
1,35164868,7,do announce alia change non body player summary torvus bridge discord ingame server change alia represent writer discord due recent addition announce change get confusing use bridge step reproduce write ingame chat relevant log screenshot detail summary logs screenshot veloren version late nightly
2,34620672,1,make voxygen inform user screenshot save maybe text pop screenshot or push text chat box
4,34469455,1,make level exp public field the follow discussion address start discussion comment appear direct getter setter level exp maybe field pub
5,32742962,4,create slot widget we need generic slot widget armor slot inventory slot hotbar slot ideally support drag slot
6,32379016,7,ui limit password character the register page allow this consequence people password long password login server
7,31368335,3,enable voxygen lib render character interest express functionality tentative step expose renderer scene determine expose easy indirectly render character create example render character image headless context
10,29298291,10,work ability todo todo add task list ability
12,29298280,1,enum ability be sure add doc comment behavior
17,29298249,5,secondary weapon attack x sword heavy attack dash forward axe hook enemy mace heavy swing bow draw quiver
18,29298242,6,primary weapon attack sword triple combo axe chop swing speedup close range mace swing loop dagger short range stab bow fire power base draw time
19,29298228,3,ecs system handle condition bleed condition regularly give bleeding damage wear time
20,29298222,2,function matchese damagetype find damage the function stat condition argument
23,29298193,6,regain energy combat base weapon type sword consistency hit axe closeness enemy x mace hit x dagger hit bow hit stand
24,29298181,1,secondary weapon attack cost energy depend
27,29298165,1,energy component currently stat
28,29298155,1,fitness reduce energy drain climb depend
29,29298149,1,willpower improve energy recovery improved energy regeneration increase initial energy recovery speed depend
32,29298129,1,endurance fitness willpower race base stat stat component each race start different set default stat player able upgrade later short summary stat endurance resist physical damage fitness move quickly efficiently willpower resist magic strong mental power effect energy regeneration race danari dwarf elf human orc undead
33,29227478,2,interpolate shadow light position figure position interpolate smooth rendering light shadow sync see figure interpolation handle shadow light code
34,29191697,10,high view distance crash server a high view distance cause server run memory kill relate
35,28968072,3,add ability track network activity this allow determine type network message send majority bandwidth usage come this indispensable network related optimization
37,26544850,10,modding tracking issue this issue create track current progess modding system design technical block relevent
38,25658091,9,switch deprecate gfx wgpu this switch promise performance improvement recent patch will involve work imbris as zest mention thing need switch voxygen src conrod use render abstraction worry glutin layer winit i believe give opengl context opengl backend gfx
39,25644380,1,check ci download package time this check change folder save externally
40,25641915,2,load worldgen structure file define structure load offset this fairly simple simple add new structure world see
41,25641044,1,only allow benchmark ci job run runner the ci job benchmarking run single runner consistency angelonfira laptop good candidate dedicate internet connection reliable aws runner
42,25609331,2,enable hotloade different offset armor weapon this accomplish similar head meshing for reference humanheadspec related code
43,25607534,1,separate voxygen server ci build when branch push master create job build executable server voxygen client i wonder well separate job the benefit the job fast well parallelization runner the runner small upload player want client client comment question answer do server need access folder it good idea thought
44,25589547,1,update libregamewiki page this page outdated use new information picture
45,25539989,6,would awesome flatpak veloren make easy user game play
46,25491223,2,crash open thread main panic fail create window fail os error formatmessagew return error os error note run environment variable display backtrace win hd intel graphic
47,25477921,10,target stable rust hello right veloren require rust nightly but hamper adoption example linux distro include way it great eventually veloren work rust stable
48,25402243,5,no audio windows no audio play config correct correct audio device find look like audio work fine actually play music code futhermore sfx footstep way silent audible
49,25322153,2,improve scaling pixel art ui some improvement near neighbor scaling source edit very nice explanation
50,25281392,1,cancel server connection from discord i want small suggestion connect server cancel button appear attempt connect abort try connect server the reason i suggest i think i run bug if enter server address instance specify maybe valid port like infinitely connect cancel force close game
51,24665064,1,reduce foot step sound it deafen
52,24575637,1,add custom cursor a custom cursor nice keep immerse think os
53,24561279,10,engine programming tracking issue this place discuss way improve development engine here goal want achieve reduce compile time move datum code allow change game run recompile make code reusable terrain figuremgr split responsibility there single object responsible queue orchestrate meshing chunk possibly mesh thing that object responsible decide chunk mesh
54,24560795,5,implement server volumetric lighting at moment generate lighting information trace block downward meshing code this technique ideal produce physically accurate effect instead use similar technique voxel game compute lighting base floodfill algorithm additionally like vertex lighting smooth lighting instead face lighting meshing code once compute pass lighting information character shader
55,24551403,2,find good way update toolchain build image periodically the toolchain repo ci update periodically this week month version depend benefit also rebuild image help ci run fast the step need take time make sure crate work new toolchain make sure toolchain rust tool need change toolchain main repo docker image repo rebuild image also improvement the ci image toolchain design run build this mean have file overwrite rust toolchain file ci run
56,24537476,1,maintain wield state roll slip now different weapon equip camera control i sure i like unequip weapon roll
57,24533654,10,audio system design misterteapot discord professional work game audio past i ask feature high priority implement response detail summary misterteapot pre thank super excited ok super quick note potential audio system obviously ton room expansion clarification probably decent starting point discussion implementation wise i think audio loosely fall group music environment sfx event sfx menu gui sfx music stream sort tagging system jukebox ie explore battle town dungeon able cross fade fade fade change area content finish area dynamic procedural music likely scope environment sfx memory area load loop major area type ie gentle breeze leave rustle forest stonger wind mountain positional audio flow water bird chirps event sfx correspond entity instantiation glide loop combat sound item interaction sound ie open door chest etc need basic dsp ie random range pitch footstep pitch eq glide loop menu gui sfx input trigger click confirm scroll mouse etc need trigger list ui team load call pool juicy ui design require animation tagging probably fake system probably fit assume dialog box voice simple click keystroke word scroll complex sythesis ala animal crossing this issue discussion overarch audio system design from read response i gather read topic i list feature need implement as decide ready add feature issue link finish check x an audio description file probably format sfx a way mark audio stream load memory audio bank load unload x fade fade crossfade pitch shift possibly dynamic procedural music engine x a way tag music base context play x positional audio i ignore audio add game issue focus solely programming
58,24513683,5,add worker chunk optimisation i write issue merge a worker run thread pool implement optimise load such optimisation comprise find good voxel serve usually follow voxel contain chonk water contain chonk order group concept group morton order this improve cache friendliness have group sort morton order overhead group access lookup table anyways lookup table
59,24243975,1,stop zip bomb artifact download have unzip multiple time unnecessary
60,23651777,1,update image arewegameyet the image veloren need change you pr repo site
