,issuekey,storypoints,context
0,33319034,3,include praefect usage usage ping gitlab feature usage ping send simple json gitlab server track certain datum customer for example show version git instal internal analysis determine deprecate git version proposal x extend usage ping send datum praefect usage x extend version app record version ping accept new parameter
1,33293341,2,omnibus praefect dashboard improvement demo from demo notice follow potential improvement the table contain latest know elect primary include instance ip hostname the replication queue size break praefect instance virtual storage need panel replication delay metric virtual storage flapping use label instance from demo notice include a panel query m a panel node time
2,33252162,3,replicaterepository create bitmap replicaterepository multiple case move repository shard in describe good case ensure gitaly write bitmap run housekeeping move repository shard the current inter shard implement git fetch original shard repository new shard the repository new shard lack bitmap pack repository old shard this measurable performance impact we change fetchinternalremote replicaterepository future force housekeeping run good performance optimisation trade short term i o load new shard well performance wide range rpc include order magnitude improvement isancestor find motivate change that change feature flag close issue remove flag make sure replicaterepository rpc
4,33100397,4,smarter praefect election process problem solve right primary election process praefect treat gitaly node possible candidate election however happen secondary fail replication sync we need consider mark gitaly node unelectable take rotation far details we probably need consider number input be job leave replication queue if node queue prefer failure rate replication queue if node unable sync current primary number repository indicative go sync need repair idea consideration during election process sort node descend number outstanding job track metric fetchinternalremote replicaterepository rpc praefect proposal when promote secondary new primary use gitaly node pending replication job link reference
6,33016702,2,remove primary praefect config sql election merge default sql leader election merge mean long need idea default primary config we remove x praefect example config toml gitaly x gdk omnibus x gitaly cluster admin doc
8,32967456,2,stale file prevent branch delete we see gitlab org gitlab repository stale aborted file prevent branch delete inside mergerequestworker cause worker retry time unnecessarily root sudo ls opt gitlab git data total drwxr git root apr drwxr git root dec r git root apr config r git root dec description r git root apr drwxr sr x git root apr gitlab worktree r git root feb head drwxr sr x git root dec hook drwxr sr x git root apr info r git root apr drwxr sr x git root apr object r git root apr pack ref r git root apr drwxr sr x git root dec ref root date tue apr utc attach file pack pack it look like write get abort few question issue what leave i presume git pack ref i packrefs rpc complete successfully should run cleanup stale file mergerequestworker idempotent deletion branch cause duplicate merge commit these error message go can port rpc go use structured logging
9,32951949,2,documentation source truth when receive git push gitaly http callback gitlab rail this git pre receive post receive hook in callback gitaly tell gitlab rail repo hook run we use opaque token call this token come rpc request field get hand git hook environment variable git receive pack process there group rpc need callback request sshservice sshreceivepack git push ssh smarthttpservice postreceivepack git push http operationsservice usercommitfiles operationsservice usermergebranch etc rpc modify repo impersonate user in case operationsservice pass repository protobuf message in case sshreceivepack postreceivepack confusing situation these rpc implement field repository message what instead explicitly pass value request message example example the purpose issue discuss problem want
10,32839108,2,praefect grpc log visible run subcommand the praefect grpc log appear terminal run subcommand this regression desirable make noise
11,32804854,2,automatically clean move project different shard problem solve move project shard leave repo original shard clean automatically this mean manual work require reclaim space proposal if project move new shard successfully space reclaim old shard delete repo link reference
12,32791485,2,praefect enable database replication queue default as default praefect use memory implementation replication queue this switch postgre implementation provide configuration parameter value true once postgres implementation test parameter remove postgres implementation default
13,32783997,3,praefect storage different virtual storage if setup multiple virtual storage storage node node processing another node treat duplicate skip code expect node bind proper virtual storage operation route properly
14,32774722,1,walkrepos handle directory delete file walking service internalgitaly walkrepos handle possible exist error this happen repository delete rpc file walk
15,32760295,3,detect node failure read write failure problem solve health check succeed problem server gitaly git for example gitaly process run fine respond healthy signal persistent disk available prevent git operation succeed far detail health check relatively slow detect failure second perform frequently total number git operation for example busy gitaly node handle hundred request second commit file list etc if multiple health check fail failover mean thousand operation fail system notice failure proposal praefect monitor gitaly rpc success failure mark node bad multiple failue row for example rpc fail row strong signal node work bad case scenario fail date replica strong consistency mean date replica test functional end end coverage provide new failover test and broad coverage run entire end end test suite environment praefect storage include staging performance end end testing implement detailed plan performance test failure condition link reference
16,32409342,2,expose node level metric automatic failover disabled currently node metric populate true we populate metric regardless this involve refactore node manager healthcheck node false here start health check the easy way probably prevent node promotion failoverenable
17,32242603,2,on startup praefect talk gitaly nodes pick replication job during demo observe praefect bring sql replication queue job ready praefect pick job immediately try replicate fail talk gitaly to reproduce bring praefect create replication job sql database bring praefect log praefect complain talk gitaly job fail
18,32212850,1,drop golang support with release go support stop go golang policy support release this mean gitaly support compile unsupported golang version action item x remove go pipeline remove go doc project gitlab
19,32114771,4,enable partial clone blob size filter default problem solve once possible enable blob sparsity filter independently enable blob filter default low risk easy customer try partial clone proposal currently feature flag control blob sparsity filter reuse exist feature flag blob filter default enable create new feature flag sparsity filter default false link reference
21,32037158,2,document praefect sql schema date praefect sql database every time deploy new version praefect need sure run pende sql migration the status quo multi node gitlab installation local administrator process run database migration in gitlab rail case mean run rake db migrate i think extend documentation information run praefect migration
22,31850391,2,add praefect replication delay metric per demo useful metric total time replication job create complete this total replication delay additionally metric graph grafana
23,31685325,1,turn info ref advertisement cache default right info ref advertisement cache guard feature flag we run feature major incident incident todo link issue cache walker incident this enable default
25,31270038,2,add praefect storage performance bar problem solve when gitaly ha hard reconcile browser happen server which node primary if i stop node node promote primary this easy know information performance bar proposal include information performance bar gitaly node cluster respond request link reference
26,31269946,2,praefect dial node garbage output problem solve in demo today observe large amount garbage output this like regression proposal remove noise output
27,27970392,2,gitaly perform well rail validation for example api query cause dozen error minute the gitaly ruby client basic client validation ensure ref valid contain whitespace etc this prevent remote grpc git spawn etc error basic validation error more example
28,27479933,2,remove old praefect config nod once gdk update change allow multiple praefect virtual storage remove backwards compatible support praefect need remove text fixture internal praefect config testdata single virtual
29,27083225,4,observe project suffer dataloss failover problem solve as administrator failover occur i want know repository experience dataloss this provide indication developer effect target effort recover miss datum possible for example let team know need push feature branch further detail at minimum able specific project suffer dataloss cause replication operation complete incomplete replication queue a possible future improvement summarize number replication job lose repo count ref repository proposal store fail replication job period time praefect database provide method report perhaps mvc command run praefect server dump fail replication job useful analysis summarize fail replication job
30,26989784,2,use option gitdsl require minimum version git from gh release blog git new way prevent sort option injection attack option when git see argument command know treat remain argument wo interpret option so instead string previously mention write following history admittedly pretty oddly name branch git log option dangerous option not standard intentional choice widely mechanism git separate reference name file in example write git log option dangerous option path file history range modify specific file example git behaviour git diff option head fatal option come non option argument
31,26782454,3,add getstoragediskstatistics grpc it useful implement method obtain collection disk space statistic in fact reduce overall load server avoid need invoke multiple remote procedure call obtain separate detail so issue suggest feature addition grpc resemble getstoragediskstatistics return collection ideally dictionary contain disk avail disk portion output df opt gitlab invocation give target storage node system
32,26778710,3,add getstoragediskused grpc currently gitlab rail acquire disk usage information individual project repository gitaly ultimately appear use du as sre i responsible manage storage node configuration gitlab rail web application admin section add new node need automate procedure helpful team to accomplish datum require i like reliable access disk disk current use statistic only example implementation recommendation ssh df opt gitlab tail after have speak i think good suggestion implement grpc resemble getstoragediskuse return parsed result df operation relevant detail detail
33,26778708,3,add getstoragediskavail grpc currently gitlab rail acquire disk usage information individual project repository gitaly ultimately appear use du as sre i responsible manage storage node configuration gitlab rail web application admin section add new node need automate procedure helpful team to accomplish datum require i like reliable access disk avail remain unused disk space available use statistic only example implementation recommendation ssh df opt gitlab avail tail after have speak i think good suggestion implement grpc resemble getstoragediskavail return parsed result df operation relevant detail detail
34,26718942,1,remove rpc depend the rpc go unused remove protobuf schema golang ruby code relate
35,26227127,3,gitaly spike cpu usage move project branch detail call api summary this affect environment customer workload different shard we find test new reference architecture i notice gitaly node spike performance testing repository branch details api in setup identical gitaly nodes cpu gb memory copy large project our test tool test environment rate rps make call equally project copy approximately rps gitaly node the copy prohect usage the difference apply copy project import affect gitaly node it specifically move gitaly node project edit api import gitaly node directly ui setting to verify i import copy project today way gitaly node able reproduce issue successfully of note affected node show numerous git operation detail log section interestingly linux task manager show git operation average cpu usage step reproduce import project environment gitaly node api case specific project copy gitlab foss move project gitaly node project edit api set way monitor cpu use gitaly node contain project prometheus watch node directly prepare gitlab performance tool proceed run test environment the rps rate dependent environment test as test run note cpu usage spike massively example project we use copy gitlab foss it specifically backup backup github gitlabhq sanitise contain private datum what current bug behavior gitaly cpu usage spike massively repository branch details api endpoint poll project move gitaly node project edit api what expect correct behavior that gitaly node show cpu usage project move project edit api relevant log screenshot perf output take couple minute long version test run sample m event cpu clock event count approx overhead command shared object symbol git inflate git git git git git git git git git git git git git git git git git k git k git git git git git git git git k git git git k git k git malloc git k git git git k git git git k git git git k go tool pprof output top cumulative show node account total dropped node cum show node flat cum output check result gitlab environment info detail summary expand output relate gitlab environment pre system information system ubuntu proxy current user git use rvm ruby version gem version bundler rake version redis version git version sidekiq go version unknown gitlab information version ee revision directory gitlab embed service gitlab rail db adapter postgresql db version url http clone url ssh clone url git elasticsearch geo use ldap use omniauth yes omniauth providers gitlab shell version repository storage path default opt gitlab git data repository opt gitlab git data repository opt gitlab git data repository opt gitlab git data repository opt gitlab git data repository gitlab shell path gitlab embed service gitlab shell git gitlab embed bin git result gitlab application check detail summary expand output relate gitlab application pre check gitlab subtask check gitlab shell gitlab shell gitlab shell version ok run gitlab embed service gitlab shell bin check check gitlab api access ok redis available internal api ok gitlab shell self check successful checking gitlab shell finish check gitaly gitaly default ok ok ok ok ok check gitaly finished checking sidekiq sidekiq run try fix sudo git production bin start for information doc install section install init script log possible error please fix error rerun check check sidekiq finished check incoming email income email reply email disable config check incoming email finished checking ldap ldap ldap disabled config check ldap finish check gitlab app git configure correctly yes database config exist yes all migration yes database contain orphan groupmembers gitlab config exist yes gitlab config date yes log directory writable yes tmp directory writable yes uploads directory exist yes uploads directory correct permission yes uploads directory tmp correct permission yes init script exist skip omnibus gitlab init script init script date skip omnibus gitlab init script project namespace yes yes yes yes yes yes yes yes yes yes redis version yes ruby version yes git version yes git user default ssh configuration yes active user be authorize key file accessible yes elasticsearch version skip elasticsearch disabled check gitlab app finish check gitlab subtask finish note sidekiq error ha environment run separate node
36,26167524,1,remove repository field inside conflictfileheader in change client behavior use repository pass request wait repository object attach response once merge remove repository field conflictfileheader completely
37,25228249,2,praefect pass proxy default gdk currently run praefect gdk run rake praefect enable give confident praefect work especially gitaly storage node daemon enable default the thing consider user like reseed gdk take long so change good forward compatibility
38,24662617,3,pass findremoterepository praefect gitaly node we proxy praefect gitaly nodes rpc dependent repository
39,24637979,1,remove commit signature feature flag getcommitsignature rewrite go the new rpc feature flag enable the feature flag remove gitaly gitlab ce todo remove feature flag remove feature flag gitlab ce
