,issuekey,storypoints,context
0,16190013,2,add pagination insight ui bump jwt lifetime hour workaround pagination timeout interaction a user view multiple page insight log resolve difference api parameter frontend send post request following format request javascript method post request url parameter request header content type application json request payload jwt token expect response javascript record page rowcount
1,16189995,2,add pagination insight api backend frontend send post request following format request javascript method post request url parameter request header content type application json request payload jwt token expect response javascript record page rowcount rowsperpage
3,16187328,8,demo create need component stepper x title design system x button design system x small design system x paragraph design system stepper quick solution later pas opneman de common ui library om nu tijd te winnen
5,16179692,5,deploy common ui common ui contain dockerfile build static version storybook automatically deploy
6,16157729,1,invalid url x road muffet there invalid link exist webpage
7,16144782,3,create use strict tls configuration communication component as want acceptance criterion all component use secure tls configuration tls configuration manage separate package link tls config docs propose technical solution create common package set security parameter tls config strict value only late tls good cipher this apply communication component build link reference link
8,16068101,1,remove sort insight app sorting date appear bug come remove sort completely default sort date backend
11,16008866,1,sort organization insight app menu list sort list consistently frontend filter
12,15954593,3,insight app regenerate qr switch irma backend select organization in insight app select organization select different organization app switch new irma api generate new qr a page reload need fix problem
13,15840551,1,move cdn dependency local project move cdn dependency project like bootstrap jquery in general cdn non react project nlx certportal test haarlem parkeervegunning nlx docs
14,15582541,1,design user base authentication nlx it great nlx offer generic way handle user base authentication we like draft design document accumulate idea topic this design starting point actually implement feature nlx
15,15445623,2,create solid plan story implement autorisation as po i want clear plan implement autorisation present nlx good solution organization need authorisation acceptance criterion example clear technical plan implementation necessary story add refine epic create notes brainstorm experiment write check sergei prevent unnecessary double work implement similar solution zds api reference component
16,14852178,3,create common ui library as developer i want common ui library i reuse component multiple frontend acceptance criterion example there common ui package all currently require component available common ui package story create backlog part story note this story concern actually replace component interface common ui component but story create need later relative import imports npm namespace use npm link
17,14738850,8,setup initial nlx performance benchmarking benchmarke number request second find boundary io bind cpu bind memory bind system ideal integrate test deployment pipeline this user story replace precise follow aspect performance scalability benchmark number request second nlx perform certain system dod create nlx bench repo following create server application serve predictable duration response ansible script deploy setup ansible script inway outway server use acc nlx network create client application measure round trip time ansible script deploy let client write output file need public dashboard automation propose tech solution vegeta apache benchmark
18,14508345,5,add nlx preprod prod environment current cluster ci as customer want use nlx production environment i confidence stability solution make use nlx acceptance criterion note mvp production environment mean good effort production environment reserve specific partner pre prod new customer ready join production br prod new customer succeed pre prod run business nlx network those environment secure process provide certificate organisation manual verification step pre prod production environment version demo environment need stay close pre prod prod intended deviation possible prod directory content pre prod directory content propose technical solution update helm chart remove cert portal cf ssl ca helm chart add gitlab ci job manual trigger pre prod prod release dns record management link reference link deploy preprod prod environment gitlab ci manual release demo
19,14507498,3,create onboarding process preprod prod environment as api provider want certificate pre prod prod environment start nlx pre prod prod acceptance criterion there document describe process provide certificate create new ca save key nlx pass add doc request certificate propose technical solution cf ssl link reference link
20,14441884,3,setup link checker doc ci as manitainer br i want automatically check url doc valid commit br prevent dead link solve quickly possible happen acceptance criterion build fail internal link dead daily job run link check warning ci cd propose technical solution in ci use muffet container link release doc container verify url valid link reference link
22,14041125,5,mutual tls ability inway service connection as sysadmin i want mutual tls encrypt connection inway api datum connection secure there protection mechanism secure service inway we like add kind mechanism protect communication inway service acceptance criterion ability add client certificate inway service definition this certificate inway connect service ability add trust configuration inway determin whitch certificate api trust inway updated documentation update demo deployment
23,14028148,5,setup unit test inway write unit test code currently testable add todo comment code need refactore need refactore add separate story todo
24,12247771,1,add pagination txlog txlog ui maybe look postgraphile
25,12125104,1,let healthchecker watch db listen notify search issue number code todo
26,12125109,1,split directory inspection registration api separate component process search issue number code todo
27,24458820,5,streamline process obtain production certificate as administrator want obtain pre production production certificate i run nlx component production environment acceptance criterion explain process obtain certificate create production section documentation help validate customer need responsible backup pki link reference link project definition done
28,24242141,3,let inway use config api as administrator want able use config api configure inway use toml acceptance criterion we add new experimental flag tell inway configuration api live the inway adopt inway configuration configure correspond service check x second new configuration apply reload change
29,24210180,8,add authentication management api as administrator want secure management api unauthenticated people change api acceptance criterion every api endpoint secure check user authenticate there login screen ui there option logout ui only support role admin readonly when authenticate ui redirect login screen the authenticatie mechanism pluggable look login plain text file fine token expire minute implement refresh logic propose technical solution add implement endpoint it possible specify multiple user password hashed role plain text file later when log user show right management ui when click user option log the overall idea management dashboard give infra admin possibility manage nlx component able access functional log give privacy auditor functional manager ability look transaction log able alter nlx network config
30,24210043,13,create initial management ui as administrator want administer nlx component fancy ui i use cli anymore acceptance criterion a new react app setup create react app management ui an initial router setup react router inway page service page the system show list inways services it possible create new service update exist service delete service
31,23908820,2,document header specification as end user developer want know specification nlx http header i design datamodel store datum acceptance criterion document nlx header specification type size optional add content include navigation link page frrom relevant section propose technical solution n link reference link header documentation currently
32,23424852,1,make insight api irma api server configurable disable minikube default as developer want fast developer environment i develop quickly acceptance criterion the service insight api irma api server configurable organization helm chart these service disable default minikube environment
33,23199269,1,clean gitlab runner i clean gitlab runner we change tag job consistent project
34,22932308,8,create management api manage inway service configuration ui as developer want able manage inway service configuration management api start build management ui acceptance criterion a new service management api add codebase it possible put new inway configuration management api these inway configuration update persist etcd there authentication authorisation perform service later enhancement technical implementation no grpc use rest json
35,22930844,8,enhance quality nlx error message as user want error message tell exactly go i waste time analyze acceptance criterion possible error identify long ambiguous error setup usage inway outway clear possible error document short explanation kudo error message link docs propose technical solution identifield possible failure client outway inway service directory health check inway directory list unhealty service case produce clear log case long cause removal directory link reference link project definition done
36,22930841,13,build config api as user want configuration api i need start xway complex cli command acceptance criterion configuration api persistent storage backend configuration save retrieve configuration template inway configuration validate api propose technical solution etcd persistent storage communication api component grpc link reference link project definition done
37,22835917,2,zap logger fail sync when stop outway inway following message fail sync zap logger sync stderr invalid argument expect behaviour the zap logger successfully sync error show actual behaviour fail sync logger display error clipboard step reproduce start outway inway console stop outway inway beetle cause not know mag details n a
38,22834631,1,enable outway inway as customer want enable outway inway use cpu gain high throughput acceptance criterion run outway display usage propose technical solution enable transport outway link reference link project definition done
39,22804784,1,switch gitlab gosec image sast the follow discussion address x start discussion comment image personal registry i prefer nlx gosec feature upgrade switch gitlab image mr accept
40,22732336,3,directory inspection api service api spec database error the service api spec endpoint directory inspection api return database error expect behaviour ok response service api spec not find spec exist actual behaviour internel server error response error error clipboard step reproduce get request beetle cause error cause scan return error see mag detail when inway register inspectionservice service api spec fail execute stmtselectserviceinway version handler list service error sql row result set when inway register inspectionservice service api spec fail execute stmtselectserviceinway version handler list service error sql scan error column index unsupported scan store driver value type nil type string
41,22636492,1,implement http status code offline service as developer want use nlx sane error message i debug new inway outway curl nlx outway invalid path url above error cause explain a path be correct communication failure inway directory mean outway able access service this make nlx fragile possible cause inway connect upstream api inway proxy error dial tcp connect connection refuse acceptance criterion a temporarily unavailable service not user make outway work communication inway directory fail propose technical solution the outway knowlegde offline service directory service link reference link project definition done
42,22511556,2,golangci lint run outway solve mark issue expect behaviour no golangci lint comment actual behaviour output golangci lint bodyclose response body close bodyclose resp err client bodyclose response body close bodyclose resp err client cmd nlx outway importshadow shadow import package process gocritic process process importshadow shadow import package process gocritic func o outway process process address string error importshadow shadow import package process gocritic func o outway process process address string certfile keyfile string error emptystringtest replace authcapath gocritic importshadow shadow import package url gocritic url err url paramtypecombine zap logger root certfile string keyfile string organizationname servicename string inwayaddresse string roundrobinloadbalancedhttpservice error replace zap logger root certfile keyfile organizationname servicename string inwayaddresse string roundrobinloadbalancedhttpservice error gocritic func zap logger root certfile string keyfile string organizationname servicename string inwayaddresse string roundrobinloadbalancedhttpservice error file gofmt inspectionapi mock service organizationname mock org inwayaddresses mockserviceainwayaddresses inspectionapi mock service b organizationname mock org b inwayaddresses mockservicebinwayaddresses inspectionapi mock service c organizationname mock org c cmd nlx outway cyclomatic complexity func main high gocyclo func main string mockorg occurrence constant goconst organisationname mockorg string mockservicename occurrence constant goconst servicename mockservicename string org nlx occurrence constant goconst certfile org nlx string org nlx occurrence constant goconst keyfile org nlx endpoints unused structcheck endpoint url url headersstriplist unused structcheck headersstriplist error return value encode json check errcheck json error return value encode json check errcheck json shadow declaration err shadow declaration line govet authresponse err header destination value destination staticcheck destination err service clipboard step reproduce golangci lint run outway solve issue mag detail paste relevant log use code block format console output log code add screenshot attach file
44,22381848,3,move schedule security scan nlx security repo as developer want schedule security scan seperate repo interfere dev pipeline move separate repo allow reserve development pipeline keep clean acceptance criterion x move schedule security scan pipeline repo nlx security x security scan run demo preprod prod x dependency scanning x static application security testing sast x container scan x dynamic application security testing dast x report finding security dashboard build consistent history x add security scan nlx repo development pipeline not report security dashboard x dependency scanning x static application security testing sast
45,22331361,2,change inway configuration propagate directory when attribute service change api specification url documentation url change propagate directory this solve manually delete service postgresql database a new service create correct information expect behaviour when change occur inway configuration service automatically propagate tot directory actual behaviour the information update directory clipboard step reproduce start service api spec url inway register directory add api spec url see spec url visible directory beetle cause cause know detail pinpoint piece code link line number mag detail regression work paste relevant log use code block format console output log code add screenshot attach file
46,22272224,1,directory add link documentation api as user want directory ui navigate documentation url provide provider api i read documentation api acceptance criterion documentation url link available drawer directory ui propose technical solution display value property present link reference link project definition done screenshot
