,issuekey,storypoints,context
0,34343651,1,password find breach message good password bug report thank take time report bug before continue sure bug report search issue this save time if sure issue continue template all text opening closing arrow html comment show end result platform when possible provide version run operate system linux mint cinnamon browser firefox what happen break provide detail possible little step step guide reproduce issue screenshot video show problem help immensely i try change password automatically generate password bitwarden i shocked receive message password pwne when i check say password find breach here what expect happen explain expect result clear break you omit expect result it work similar either message say symbol require allow use valid password
1,31854870,2,tag autocompletion work second tag type space tag to reproduce start create new topic enter character tag tag box use autocomplete finish type space type letter tag the cause apparent i type space habit
2,30698882,2,un pin upgrade salt vagrantfile as describe message commit i pin version new version salt release currently buggy break create tildes dev environment handle check i pin salt previous stable version reminder probably good un pin upgrade eventually bug work
3,29924702,1,add post new topic button sidebar group search result page p my current workflow post topic group start search link i submit submit i search withe artist song but i push back navigate group page page header search foo my bar tonight link issue i prefer post new topic button bar group search result
4,26242729,1,remove replace quote search view query when search text show search and double quote actual meaning search upgrade come postgresql quote search look little weird to avoid confusion actually search i think good remove quote replace
5,26117272,1,colour mix quote code p see in black theme code background mean distinction quote text code preformatte text quote i think good colour code inside quote black theme sure rest
6,25521531,3,allow define important tag individual group topic tag hide default listing page important one show currently nsfw spoiler consider important useful able define important tag group for example nice relevant country tag show topic tag
7,25085709,2,add way view topic comment vote as suggest topic
8,24347707,3,include exclude operator search relevant comment
9,24175625,4,update marshmallow marshmallow tildes use schema validation similar application release version fairly long rc process this require significant update code i pin try update long benefit here doc upgrading
10,23816183,2,add demo page theme it nice page people easily flip theme different site element look like apply it fake site element like topic listing look like little fake comment tree show different type comment exemplary new look overview theme spot this fairly straightforward implement view create topic object comment object add database session use template macro render real version object that way page update design change exactly macro method page
11,23722124,2,change comment voting replace entire comment now detail block comment strange behavior vote comment contain since vote result entire comment replace intercooler detail block end get reset default expand collapse state it totally fine replace vote button instead entire comment i think originally i replace entire comment vote count inside button need replace comment
12,22100284,2,link filter topic tag user sidebar respective page as suggest
13,21827624,2,automatically link subreddit comment give subreddit mention tildes comment nice similarly auto link like tilde group
14,21704611,3,add collapse read button comment section work like collapse old comment feature as suggest
15,21613959,1,make theme easy change log which simply add theme switcher visible page log log version as suggest
16,21571064,4,show link metadata thread page link metadata word count article date youtube channel appear thread page wdyt add near submitter
18,20827669,4,add unfollow feature allow user turn notification reply comment topic this allow user effectively disengage argument it probably disable default enable case case basis global user set imo edit feature request slightly different reason avoid get spamme busy topic
19,20538732,1,split subgroup parent group link topic view if header link separate official allow jump parent group subgroup when view topic link split like lead
20,20403102,4,bug double clicking topic new comment when mark new comment feature topic new comment double click topic comment load comment mark new my guess click register mark new comment second click visit new comment
21,19201640,1,topic log change link outside sidebar
22,18745477,2,indent subgroup group list as suggest
23,18731529,3,add ability bookmark topic page
24,18297018,2,incorrect site favicon display sometimes incorrect favicon website display presumably cache issue reload page fix screenshot different device
25,17187020,4,rework view schema support webarg as mention webarg long set value optional argument the link commit pin webarg version avoid behavior change moment able upgrade require reworking view schema able handle new approach
26,16586509,2,update annotation advantage delay evaluation python include postpone evaluation type annotation this mean long need write annotation quote string type define later example however add future import annotation file quote string previously necessary this change wo possible pyflake update support currently cause undefined error prospector this pull req need merge
27,15732986,1,invalid character tag query parameter result uninformative error page the current error page say invalid path confusing meaningful people
28,15152119,2,set account default button disappear page reload i search theme set account default find bug bug step go setting page click different theme the set account default button reload page i expect button if i switch theme appear
29,15078056,3,upgrade postgresql version october
30,15078026,3,upgrade redis redis release i expect issue upgrading need testing check
31,14869123,1,make donate page link prominent tildes homepage a prominent link donate page probably go necessary point the link site footer practically read see add prominent link sidebar header probably good idea even people potentially develop blindness eventually sake make people aware option donate available place worth imo
32,14840627,1,hide topic comment section comment minor thing notice early when comment border separate section like however look weird comment hide comment little neater it display simple check template
33,14720739,2,label comment delete throw error console pretty title try label comment delete throw ajax error console this probably change show error near label
35,13660773,2,show op topic log change since people able change people topic give permission i think nice original poster change easily you course look topic author topic log make cumbersome have author op like comment header lot easy
36,13491096,1,ability topic creator change title with addition stage community moderator topic log exist track change topic permission it nice extend topic creator able edit title submission both log high permission user stand prevent bait switch style manipulation
37,13486046,2,user able view backup code possibly generate new one just come mind i write announcement way user view backup code enable case initially store it nice ability generate people disable enable view need require check access log account able backup code bypass disable similar disable require
38,12653502,2,add preference change default comment sort method should sufficient dropdown preference choose option currently vote new order post
39,12058944,2,topic tag filter apply view single tag currently i filter disabled user view single tag correct the single tag filter filter apply example i filter trailer disable nsfw filter this require bit extra work support single tag unfiltered
40,11041654,2,add ability view comment source not sure i see look like view comment markdown source edit would useful able source comment especially markdown test time time
