issuekey,created,title,description,storypoints
117037182,2022-10-17 14:07:10.856,FE: use React 18,"update packages to use react 18:
- react
- react-dom
- react-test-renderer
- @testing-library/react"": ""^12.1.2"", -> 13
- @testing-library/react-hooks"": ""^7.0.2"", -> uninstall and import renderHook from above package
- @types/react
- @types/react-dom

Make sure this branch is uptodate with master.

If possible this ticket should be splitted into smaller ones. Fix upcoming react changes separately (if possible)

TODO:

- [x] wmjsmap doesn't currently work with React 18 in Strict mode, this has to be fixed. The map view gets mounted, unmounted and not remounted. We could temporarily disable strict mode for the app until it's fixed. More info: https://reactjs.org/blog/2022/03/08/react-18-upgrade-guide.html#updates-to-strict-mode. Fix in separate ticket https://gitlab.com/opengeoweb/opengeoweb/-/issues/2957
- [x] typing in a TAF field breaks the app, try to update react-hook-form to V7 first? https://gitlab.com/opengeoweb/opengeoweb/-/issues/2926 Not sure if this would fix it, maybe needs a bit more investigation.
- [x] fix tests (problems with `act` warnings in tests: https://github.com/testing-library/react-testing-library/issues/1051)
- [x] screenmanager issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3093
- [x] login issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3094
- [x] drag and drop issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3095
- [x] map presets issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3100
- [x] spaceweather graphs issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3101
- [x] spaceweather notification populate issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3102
- [x] sigmet level values issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3103
- [x] TAF autosave issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3180
- [x] Sigmet Volcanic Ash Cloud issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3181
- [x] Airmet Cloud levels issue https://gitlab.com/opengeoweb/opengeoweb/-/issues/3182",8
117021690,2022-10-17 12:25:48.579,FE: sigmet/airmet fix readonly styling of inputs,Make sure that the form is looking correct in view mode. The inputs should have disabled (to prevent focus) and readonly props to work. Styling should be minimal as form-fields should take care of it,2
116995301,2022-10-17 07:44:15.151,FE: add theming to form-fields,"Add theming to form-fields. Add light and dark, and rename current ones to OldTheme (or something). When we are done with spaceweather, the only thing left to do is remove these old stories",3
116984700,2022-10-17 05:01:33.520,FE: sigmet/airmet add container queries to dialog,"Add container queries to make the dialog also work for smaller sizes of sigmet airmet
https://gitlab.com/opengeoweb/opengeoweb/-/merge_requests/1928#note_1136151475",3
116892439,2022-10-14 12:12:30.749,FE: Activate openapi check,"After updating the openapi specifications in the aviation and SW BE, the check should be turned on in the FE by adjusting the content-type",5
116892401,2022-10-14 12:11:34.401,BE: Fix SW types in OpenAPI specs for aviation backend,"Following updating specification for TAF, SIGMET & AIRMET, also update for SW as checking will be conducted in the near future",3
116871163,2022-10-14 06:32:42.622,FE: sigmet/airmet extract field layout,"All fields have same inline layout, but all are defined in the components. Extract this, to make fixing form fields later easier",2
116829654,2022-10-13 12:54:04.714,FE: make ContentDialog responsive,"DEsigns can be found https://app.zeplin.io/project/5ecf84a3c6ae1047a368f393/screen/5f4e0b5cef6167b007682172

- (long) title should look correct on small screens
- action buttons should get optionlist menu 
- don't use javascript to get it completely like design in viewport of the dialog. We should wait for container queries 
- make sure the form elements look correct

![Screenshot_2022-10-13_at_14.53.30](/uploads/3bab33bd95e63df9172bea2fd060c75c/Screenshot_2022-10-13_at_14.53.30.png)",2
116828754,2022-10-13 12:41:47.460,FE: fix storybook warnings,"Some stories generate warnings, we need to change to the new syntax. Also update the readme (for the zeplin links) where needed.

![Screenshot_2022-10-13_at_14.42.06](/uploads/621c86c2551b32ab01d329c87ba53ff0/Screenshot_2022-10-13_at_14.42.06.png)


In 5.x CSF, you would annotate a story like this:
```
export const Basic = () => <Button />
Basic.story = {
  name: 'foo',
  parameters: { ... },
  decorators: [ ... ],
};
```
In 6.0 CSF this becomes:
```
export const Basic = () => <Button />
Basic.storyName = 'foo';
Basic.parameters = { ... };
Basic.decorators = [ ... ];
```

Try to run this codemod: `npx @storybook/cli@next migrate csf-hoist-story-annotations --glob=""**/*.stories.js""`


see https://github.com/storybookjs/storybook/blob/next/MIGRATION.md#hoisted-csf-annotations
expected result: no more warnings in any story or snapshot test",2
116805677,2022-10-13 07:22:39.981,FE: sigmet-airmet remove tooltip after clicking on list element,"As pointed out in https://gitlab.com/opengeoweb/opengeoweb/-/merge_requests/1920#note_1134117242, when you hover on a tooltip, and open a sigmet/airmet it will briefly show the tooltip in the dialog. It was already there, but it's more visible now we have a bigger tooltip. 

When opening a sigmet/airmet it should close the tooltip so it won't be visible inside the dialog. Maybe easy fix on zIndex? Should be an easy fix, otherwise we have to check other options

Maybe it will be fixed automaticely in https://gitlab.com/opengeoweb/opengeoweb/-/issues/2790 by the pointer-events, do that ticket first to check",3
116739013,2022-10-12 09:27:57.437,FE: Update shared status tags with latest design,"Update status tags with latest design
Updated: https://zpl.io/VDyzyYg + https://zpl.io/2pqdRMy



make sure spaceweather is still looking correct",2
116672133,2022-10-11 13:16:23.962,FE: remove TAF type field,,2
116671306,2022-10-11 13:08:07.455,Sigmet/airmet move TAC tooltip from i icon to issue time,"Current situation is Tooltip of TAC is on the `i` icon, but in design it has it on issue date. If we do this, we save a column, but that is impacting the [responsive ticket.](https://gitlab.com/opengeoweb/opengeoweb/-/issues/2753) 

- question for design, any reason not to use the default tooltip color?

![Screenshot_2022-10-11_at_15.06.22](/uploads/72765a01785120a8730b0262b9f6987d/Screenshot_2022-10-11_at_15.06.22.png)",2
116670515,2022-10-11 13:00:03.407,FE: add responsive design to sigmet/airmet List,"Add responsive design as defined here to the List component https://app.zeplin.io/project/5ecf84a3c6ae1047a368f393/screen/60422ba167ef1d7fae99c305

base styling is there, only needs some padding/margin",2
116669689,2022-10-11 12:58:38.831,BE: investigate AWS SAM to run BE locally,"Investigate and document on whether we can use SAM to run the lambdas locally for easier testing.

Add documentation on how to use and set up

Findings:
- SAM templates are a superset of CloudFormation templates
- SAM templates can include ""transforms"" that could make the definition of serverless apps more breve
- The SAM CLI has a `sam local` command that make it possible to run your stack locally, but the number of supported services is very limited (i.e. no S3 support)
- Because of SAM's limited support I had to include LocalStack for S3 emulation
- This makes it impossible to just re-use existing CloudFormation templates, so I ended up creating new CloudFormation templates just for development, combined with Bash scripts
- LocalStack has emulation for some services as well, so I tried that too, without using SAM. CloudFormation support is very limited, so again I found myself creating a new CloudFormation template just for development, combined with Bash scripts
- It is a painful process and I didn't get a full stack working within one day - I'll stop my investigation on this now and first discuss with the backend people of the team",5
116668126,2022-10-11 12:54:51.549,BE: Sigmet cleanup of tests,"Structure and clean up tests, split file if necessary. Add more tests if pieces are not covered still.
- Make sure the inline documentation gives a proper description of what is being tested
- Group tests with similar functionality",3
