issuekey,created,title,description,storypoints
72212208,2020-10-05 19:42:04.830,Remove ObjectBase and put code generation in the GLXNIMATE_OBJECT macro?,,2
72179206,2020-10-05 10:04:01.503,Open raster images,,3
72176548,2020-10-05 09:30:21.982,use QUiLoader for plugins instead of settings,,6
72152252,2020-10-04 21:11:48.023,drop bezier-dragging code in the select tool,,3
72152098,2020-10-04 21:03:26.416,"keep selection and editors separate in the scene, and have each tool toggle editors as it sees fit.",,5
72137051,2020-10-04 11:28:40.245,Node context menu,,2
72135067,2020-10-04 09:26:56.972,Bezier editing doesn't create undo commands,,2
72114509,2020-10-03 15:31:24.698,Select Groups,,2
72017987,2020-10-01 13:17:41.400,show/hide layer based on first/last frames,,2
72016959,2020-10-01 12:59:20.681,fix make_release links,,1
71897376,2020-09-29 21:46:15.749,consider removing layers,"The main reason they exist is for Lottie compatibility but they add a bunch of restrictions.

The only feature they provide is to have parenting that is not hierarchical.

Could just use group shapes and if they are on the top level, they could have this feature enabled.",20
71896586,2020-09-29 21:23:15.028,Masks,,10
71894927,2020-09-29 20:43:05.232,Increase selection precision,,5
71879423,2020-09-29 14:37:53.894,Bound property values,,5
71806437,2020-09-28 14:34:04.894,Color Substitution plugin,,2
71804599,2020-09-28 14:10:21.620,Use the last used NamedColor when creating shapes,,3
71804446,2020-09-28 14:07:55.212,Native Windows Build,,5
71804413,2020-09-28 14:07:24.063,Copy/Paste support for document swatch colors,,3
71803723,2020-09-28 13:58:01.233,Undoing sometimes adds spurious keyframes,,1
71759799,2020-09-27 16:26:06.559,Clicking with draw tools should select / switch to select tool,,2
71742484,2020-09-26 21:07:45.226,Fix dock widget icons on windows,,3
71737838,2020-09-26 16:30:51.535,Fix palette save path,,2
71587727,2020-09-23 19:42:16.444,Gradient Support,,8
71587682,2020-09-23 19:41:10.967,Color Picking tool,,5
71587400,2020-09-23 19:32:35.158,I/O Support for inkscape stars,,2
71519401,2020-09-22 16:49:26.503,Edit widgets aren't updated when the current frame changes,,2
71497546,2020-09-22 10:14:25.095,Crash on new shape without layer,,3
71494220,2020-09-22 09:22:46.728,Layer drag uses the wrong transform,,3
71494153,2020-09-22 09:21:19.855,Bezier animation seems broken,,4
71456202,2020-09-21 15:03:10.208,Resize dialog,,3
71437983,2020-09-21 09:59:55.374,Precompositions,,20
71437958,2020-09-21 09:59:29.113,Document metatada dialog,,6
71407312,2020-09-20 09:46:14.888,Freehand Drawing,,5
71407304,2020-09-20 09:44:53.235,Refactor I/O messages,"Use app::log Info/Warning etc.
Also log on serialize/unserialize.

Would also be nice to expose logging to python.",5
71405884,2020-09-20 08:12:22.624,Crash when keyframe recording is on,,4
71391204,2020-09-19 10:36:31.150,icons not being packaged properly in the appimage,,3
71391157,2020-09-19 10:34:05.785,select tool movement is odd,,4
71391149,2020-09-19 10:33:38.420,Lock Keyframes in the animation container range,,10
71356600,2020-09-18 10:24:53.542,Bezier editing handles is a bit weird,,4
71344780,2020-09-18 07:23:11.633,Apply transform to the draw tool previews,,4
71342758,2020-09-18 06:53:09.351,Implement Fill Rule,,2
71342286,2020-09-18 06:42:03.801,transform anchor point handle of item with a rotated parent doen't work,,3
71341379,2020-09-18 06:08:17.056,subclass QIODevice for gzip read/write,,3
71330749,2020-09-17 20:31:59.109,Minimal tgs validation (size/fps),,2
71328609,2020-09-17 19:37:54.297,Trace bitmaps,,20
71328600,2020-09-17 19:37:16.024,Render to Mp4,,7
71328595,2020-09-17 19:36:56.543,Render to Gif,,5
71328587,2020-09-17 19:36:37.755,Render to WebP,,5
71328555,2020-09-17 19:35:06.755,Animated SVG Export,,10
71328545,2020-09-17 19:34:43.967,Animated SVG Import,,10
71328536,2020-09-17 19:34:22.734,Nicely splitting easing curves when adding keyframes,,5
71327996,2020-09-17 19:16:40.758,Add a QUndoView dock,,2
71323684,2020-09-17 17:29:02.976,Star Shape,,2
71323529,2020-09-17 17:26:08.488,Ungroup shapes action,,3
71311618,2020-09-17 13:08:33.620,Move to new parent action,,3
71264106,2020-09-16 18:38:10.707,"Some way of hiding ""useless"" bezier handles",,7
71263864,2020-09-16 18:29:30.607,Drag and drop in the layers widget,,5
71261509,2020-09-16 17:06:05.742,Move/Reorder commands,,10
71258764,2020-09-16 15:48:21.387,"""Group shapes"" action",,4
71250764,2020-09-16 13:37:01.548,Implement reload functionality,,2
71232012,2020-09-16 06:53:49.123,fill style widget applies style to the last selected item even when it has been deselected,,2
71230810,2020-09-16 06:16:27.535,Layer visibility isn't propagated correctly to the graphics view,,2
71229967,2020-09-16 05:41:07.080,SVG parent layer name,,1
71229949,2020-09-16 05:39:47.849,Ensure graphics view is centered on maximised startup,,3
71229783,2020-09-16 05:30:46.957,SVG use,,3
71218711,2020-09-15 21:01:07.213,Check SVG import transforms,,5
71218698,2020-09-15 21:00:45.206,Use the all files filter on the open dialog by default,,1
71209627,2020-09-15 16:48:55.873,Image layers,,10
71209520,2020-09-15 16:45:47.073,Import/Export plugins,,15
71207817,2020-09-15 16:11:06.671,Save visible/locked status,,1
71207736,2020-09-15 16:09:16.929,Ensure all the unimplemented features are disabled in the UI,,3
71207716,2020-09-15 16:08:43.651,Multiple handle selection / transformation for the edit tool,,7
71207682,2020-09-15 16:07:27.630,Recursively inspect selected group and select the paths with the edit tool,,4
71183079,2020-09-15 08:10:42.411,Improve mime serialization infrastructure,,3
71135194,2020-09-14 19:28:45.625,timeline property view doesn't update on double click,,3
71111279,2020-09-14 12:45:33.383,Implement opacity,,3
71104439,2020-09-14 10:32:29.768,Fill style widget creates suprious recolor commands,,1
71068945,2020-09-13 09:48:11.021,Try Setting up Travis builds for win,,4
71068566,2020-09-13 09:01:33.197,Delete from select tool,,2
71068348,2020-09-13 08:45:04.345,Try setting up travis builds,,4
71067512,2020-09-13 07:49:28.072,scene / treeview selection seems to get out of sync,,2
71062179,2020-09-12 20:13:08.713,Try Setting up Travis builds mac,,3
71060992,2020-09-12 18:20:24.047,rename add_command to push_command,,1
71060978,2020-09-12 18:19:19.753,"Clipboard ""cut""",,2
71060972,2020-09-12 18:19:03.844,Expose beginMacro/endMacro to Python,,2
71060519,2020-09-12 17:59:50.229,Node edit tool should be able to select paths,"Maybe also  if a group is selected, show the editors for all of its (direct) child path shapes",5
