issuekey,created,title,description,storypoints
86814622,2019-12-17 20:29:25.751,Pajamas: New UX architecture,"## Problem
<!-- What’s the problem? Why is it worth solving? -->
### GitLab is a Gardener
The great George RR Martin once said...
> “I think there are two types of writers, the **architects** and the **gardeners**. The architects plan everything ahead of time, like an architect building a house. They know how many rooms are going to be in the house, what kind of roof they're going to have, where the wires are going to run, what kind of plumbing there's going to be. They have the whole thing designed and blueprinted out before they even nail the first board up. The gardeners dig a hole, drop in a seed and water it. They kind of know what seed it is, they know if planted a fantasy seed or mystery seed or whatever. But as the plant comes up and they water it, they don't know how many branches it's going to have, they find out as it grows. And I'm much more a gardener than an architect.” 

*  **Gardener** - Bottom-up, experimental, opportunistic, looking for emerging structures
*  **Architect** - Top-down, regimented, tightly-controlled, looking to balance the high level with the lower level from the start

I think this mindset can be applied to any creative field (such as design), however, I don't think you necessarily need to be either a `Gardener` or an `Architect`.
**IMO... GitLab is culturally over-indexing on the `Gardener` side of things.**

### The challenge with being a Gardener
Based on my onboarding experience and use of Pajamas, this Gardener mindset has led to a number of pain points...
*  The onboarding experience is scary
*  Design documentation and resources (from my perspective) are quite diffuse across GitLab
*  It's hard to quickly understand what GitLab as a product is - and how it fits together

...There is an opportunity to restructure the experience and content of our Pajamas Design System to ease the onboarding experience and architect content in a more noob-friendly way.

## Solution
<!-- What’s the solution? Why is it like that? What are the benefits?) -->
Let's introduce just the right amount of `Architect` into our design system...

I have taken a stab at re-architecting the general experience ([see Pajamas Design System - Architecture Mural](https://app.mural.co/t/gitlab2474/m/gitlab2474/1576610115252/7ba61a8eaf98c494b8d603439d37011757c86b8c?wid=0-1576610284030&outline=open)) - trying to balance a bottom-up *and* top-down approach to a design system. This is WIP and a first iteration of course... I will need input from a broader audience to take into account everything that's important.

See... 
* [Pajamas: Actionable Principles Update](https://gitlab.com/gitlab-org/gitlab-design/issues/797)
* [Pajamas: Define Conceptual Object Model](https://gitlab.com/gitlab-org/gitlab-design/issues/789)

![Screenshot_2019-12-17_at_19.49.56](/uploads/43991241a1584cc752a129b5b3bc4480/Screenshot_2019-12-17_at_19.49.56.png)

With a more balanced approach to PJ's UX architecture, I believe we can...
*  Make onboarding easier through clarity & purpose
*  Simplify the information architecture of http://design.gitlab.com/ 
*  Provide greater context for our lovely components

This is very abstract atm... but I will follow up with how this new type of architectural thinking can benefit the new table and sorting components I am working on.

I would love some feedback! Let me know what you think.

/cc @gitlab-com/gitlab-ux",5
27992532,2019-12-05 18:45:56.647,Dogfooding > Set up tracing in Jaeger,"* Set up [Jaeger](https://www.jaegertracing.io/) and configure your application using one of the client libraries.
* Navigate to your project’s `Settings > Operations` and provide the Jaeger URL.
* Click Save changes for the changes to take effect.
* You can now visit `Operations > Tracing` in your project’s sidebar and GitLab will redirect you to the configured Jaeger URL.",2
27904886,2019-12-03 19:05:18.322,Update Foundation > Iconography docs with more details about counters,"Per https://gitlab.com/gitlab-org/gitlab-design/issues/693#note_253421586, adding documentation to specifically address counters (negative space in an icon).

/cc @pedroms",1
27514850,2019-11-24 23:11:59.272,Highlight selected heading in markdown,"If you link someone to an anchor link that is at the bottom of the page, scroll doesn't go all the way there. 

e.g. the following link for Sourcegraph, but has the 'Localization' heading at top of screen https://gitlab.com/help/user/profile/preferences.md#sourcegraph 

![Screen_Shot_2019-11-25_at_9.29.51_am](/uploads/5ecab00a475b7499e670891f830384b6/Screen_Shot_2019-11-25_at_9.29.51_am.png)

Would be great if we could highlight/outline/underline or somehow indicate that the sourcegraph heading is the target. i.e.

![Screen_Shot_2019-11-25_at_9.30.45_am](/uploads/710e58a30b83a5c5783dab5e7c698cd5/Screen_Shot_2019-11-25_at_9.30.45_am.png)",1
27187612,2019-11-18 19:00:32.372,Explore the possibility for a more compressed view of tables,"When we were discussing how to utilize our existing table design to display logs, our engineering team suggested it would be better to have a view of the tables with minimal padding around the content so that users can view a maximal amount of content display onscreen (https://gitlab.com/gitlab-org/gitlab/issues/5696#note_244598777). 

Should we consider a more condensed table view? Or, should we allow users to swap back and forth between our normal view and a more condensed view?",2
26988714,2019-11-12 16:54:59.374,Set up monitoring for design.gitlab.com,"This project has been moved to running off of a Kubernetes cluster using Auto Devops and internal Operations tools. Right now it is using the out-of-the-box monitoring configuration. This is insufficient for production troubleshooting, as we discovered when troubleshooting this ingress issue: https://gitlab.com/gitlab-com/gl-infra/infrastructure/issues/8319

This issue is to discuss setting up additional monitoring and metrics to increase visibility into the deployed instances.

The ingress issue that we have been seeing centers around the number of incoming connections, so as a first step, it would be nice to have some metrics for the NGINX Ingress controller's incoming and backend connections and their latency.",2
24551977,2019-09-06 21:23:49.194,Specify positioning and sizing guidelines for modals,"### Problem

Modals across the product vary in size. Besides this, modals are missing some guidelines regarding positioning and sizing which could be useful in cases like the modal used for querying, listing, and filtering projects in https://gitlab.com/gitlab-org/gitlab-ce/issues/65285#note_213633672.

| Modal 1 | Modal 2 | Modal 3 |
| ------ | ------ | ------ |
| ![modal-milestone](/uploads/d46df0d55dcf19b9dc5d48a242614a8e/modal-milestone.png) | ![modal-upload](/uploads/520bc72485af92ef51c0211e089ab1c3/modal-upload.png) | ![moda-dashboard](/uploads/cf9b878d096c246e87cd27c9f8f5438e/moda-dashboard.png) |

### Proposal

Let's add some **positioning** and **sizing** guidelines  for modals.

Possible additions:
1. Specify space on top and bottom
1. Specify height growth strategy if needed 
1. Specify max-height
1. Specify listing guidelines and paginating through elements
1. Specify filtering options (filter box)",2
24063726,2019-08-22 17:32:59.424,Remove banner from sorting component,"We've implemented a first-pass of the sorting component. We weren't able to finish styling the component because we are waiting on other components to be completed (https://gitlab.com/gitlab-org/gitlab-services/design.gitlab.com/issues/274, https://gitlab.com/gitlab-org/gitlab-services/design.gitlab.com/issues/281).

Our plan is to add a ""this component does not yet conform to the correct styling"" banner to the vue component on design.gitlab.com. This issue is to remove that banner, when all of the resulting style issues have been resolved.

![Screen_Shot_2019-08-22_at_10.29.48_AM](/uploads/16f28c6207fe71654011760012a7d45d/Screen_Shot_2019-08-22_at_10.29.48_AM.png)",1
23844795,2019-08-16 14:31:58.020,"Create, Build, and Style > Drawers","This issue is to complete the ~""pajamas::create"", ~""pajamas::build"", ~""pajamas::style"" portion of ~""component::filters"" as part of FY20-Q2 OKR to Improve the quality and consistency of our UI.

This includes a single-source-of-truth component that is implemented in Vue and thoroughly documented on design.gitlab.com. This does not include implementing the component throughout the product.

Related epics:

* [Components of Pajamas Design System:
* [Pajamas component:

Related issues:

* [FY20-Q2 UX OKR: Improve the quality and consistency of our UI](https://gitlab.com/gitlab-com/www-gitlab-com/issues/4355)

## Checklist

* [x]  Usage documentation is included in Pajamas
* [x]  Component is built and styled in gitlab-ui according to specs
* [x]  Add the design specs to Pajamas https://gitlab.com/gitlab-org/gitlab-services/design.gitlab.com/-/merge_requests/2719
* [x]  [Create Drawer structure in Figma](https://www.figma.com/file/2XRq1MnIG69iti76Mh9HpJ/branch/DlBySFafHmSJEzgJv2v2Sa/Pajamas-visual-examples?node-id=3487%3A15479)
* [x]  Add the structure diagram to Pajamas ([Figma branch](https://www.figma.com/file/2XRq1MnIG69iti76Mh9HpJ/branch/DlBySFafHmSJEzgJv2v2Sa/Pajamas-visual-examples?node-id=3487%3A15479)) [MR](https://gitlab.com/gitlab-org/gitlab-services/design.gitlab.com/-/merge_requests/2737)
* [x]  Remove the banner on vue tab that warns of incorrect styling ([MR](https://gitlab.com/gitlab-org/gitlab-ui/-/merge_requests/2677))
* [x]  Add a reference and link to the completed component in the [Engineer Week in Review](https://docs.google.com/document/d/1Oglq0-rLbPFRNbqCDfHT0-Y3NkVEiHj6UukfYijHyUs/edit) doc",5
23754265,2019-08-13 20:22:53.355,"Follow-up from ""WIP: Resolve ""Review illustration documentation"" - Add link to icon naming","The following discussion from !1506 should be addressed:

- [ ] @tauriedavis started a [discussion](https://gitlab.com/gitlab-org/gitlab-services/design.gitlab.com/merge_requests/1506#note_202920888):  (+3 comments)

    > Is it possible to link `icon naming` to a section that describes how to name icons?


Dependent on https://gitlab.com/gitlab-org/gitlab-design/issues/554",1
