issuekey,created,title,description,storypoints
114314864,2022-09-01 20:41:24.178,[Design] Featured Content Block,"## Goal
We would like to reintroduce the merchandisable featured content block which will improve engagement as measured by CTA clicks to content items followed by contribution to ARR or Free Trial.

### Jobs To Be Done
* **Situation**: *When ...*
* **Motivation**: *We want to ...*
* **Outcome**: *So we can ...*

## Page(s)
Which page(s) are involved in this request?
* `[Homepage](http://about.gitlab.com)`

## DCI
[DRI, Consulted, Informed](https://about.gitlab.com/handbook/people-group/directly-responsible-individuals/#dri-consulted-informed-dci)

- [ ] DRI: `GitLab Handle`
- [ ] Consulted: `GitLab Handle`
- [ ] Informed: `Everyone`

## In scope
What is within scope of this request?

- [ ] Add 3 cards that link to featured content
- [ ] We require a content calendar to change out the content on a biweekly or monthly basis

## Examples
![Screen_Shot_2022-09-01_at_2.15.30_PM](/uploads/2c9274eb5b3501863e63eb08cbaa60ca/Screen_Shot_2022-09-01_at_2.15.30_PM.png)
https://www.uipath.com

## Requirements
What are the requirements for this request? Checklist below is an example of common requirements, please check all that apply and adjust as necessary:

- [x] Copy writing
- [ ] Illustration
- [ ] Custom Graphics
- [ ] Research
- [x] Data / Analytics
- [x] UX Design
- [x] Engineering",2
114314851,2022-09-01 20:40:46.377,ENG: Full Hero Carousel,"## Goal
We would like to test adding a full hero carousel to the homepage which will improve engagement as measured by CTA clicks within the homepage hero.

This issue is to create the functionality for the home carousel not to implement it live.  We also want this to be a new component and not overwrite the current home hero.  We should use the current home hero as a starting point in this carousel.

- [ ] The carousel transition includes left text and image
- [ ] The user should be able to click to move to the next slide
- [ ] The carousel should be flexible that can handle 2-5 slides
- [ ] When a user mouses over the entire carousel the timer should pause
- [x] Work with @dennischarukulvanich so we can track the CTAs per slide

When engineering is done we should make sure the old hero is on the home page and we can merge this new component to wait for content.

### Jobs To Be Done
* **Situation**: *When ...*
* **Motivation**: *We want to ...*
* **Outcome**: *So we can ...*

## Page(s)
Which page(s) are involved in this request?
* `[Homepage](http://about.gitlab.com)`

## DCI
[DRI, Consulted, Informed](https://about.gitlab.com/handbook/people-group/directly-responsible-individuals/#dri-consulted-informed-dci)

- [ ] DRI: `GitLab Handle`
- [ ] Consulted: `GitLab Handle`
- [ ] Informed: `Everyone`

## In scope
What is within scope of this request?

- [ ] AB Test current (control) carousel vs. a carousel that changes messaging and CTA links as well.

## Out of scope
What is out of scope and not part of this iteration?

- Experience or behaviour changes beyond in scope description

## Example:
![Screen_Shot_2022-09-01_at_1.17.58_PM](/uploads/551877bef585f89c337c3b6f3f181cb4/Screen_Shot_2022-09-01_at_1.17.58_PM.png)

[https://www.snowflake.com/en/](https://www.snowflake.com/en/)

## Requirements
What are the requirements for this request? Checklist below is an example of common requirements, please check all that apply and adjust as necessary:

- [x] Copy writing
- [ ] Illustration
- [ ] Custom Graphics
- [ ] Research
- [x] Data / Analytics
- [x] UX Design
- [x] Engineering",5
114311459,2022-09-01 18:53:06.773,Resolve console errors on select Conversion pages,"Clearing up console errors in browser and in terminal due to incorrect use of v-html within SlpTypography components and deprecated attributes.

1. Home page
2. Pricing page
3. Pricing Premium page
4. Pricing Ultimate page
5. Demo
6. Why GitLab",2
114255341,2022-08-31 21:27:41.243,ENG: OneTrust Cookie banner update,"## Goal

We would like to see if force choice is an option for the cookie banner which will improve user selection as measured by acceptance or rejection of cookies.

### Jobs To Be Done

* **Situation**: *When a customer visits GitLab...*
* **Motivation**: *We want them to make a choice if they want us to use cookies or not for their sessions...*
* **Outcome**: *So we can deliver the preferred experience.*

## Page(s)

Which page(s) are involved in this request?

* [Home page cookie banner](https://about.gitlab.com/)

## DCI
[DRI, Consulted, Informed](https://about.gitlab.com/handbook/people-group/directly-responsible-individuals/#dri-consulted-informed-dci)

- [ ] DRI: `GitLab Handle`
- [ ] Consulted: @lduggan @justin.vetter @fqureshi 
- [ ] Informed: `@mpreuss22` 

## In scope
What is within scope of this request?

- [ ] Remove ""x"" close icon from non-US cookie banner. But, must keep the ""reject-all"" button for France.
- [ ] Remove ""x"" close icon from US cookie banner for future proofing.
- [ ] Stop page scroll until a user has selected their cookie preference.

## Out of scope
What is out of scope and not part of this iteration?

- Not in scope 1
- Not in scope 2

## Requirements
What are the requirements for this request? Checklist below is an example of common requirements, please check all that apply and adjust as necessary:

- [ ] Copy writing
- [ ] Illustration
- [ ] Custom Graphics
- [ ] Research
- [ ] Data / Analytics
- [ ] UX Design
- [x] Engineering",4
114242398,2022-08-31 17:00:34.217,Remove unused css in www-gitlab-com,"## Goal
Clean up all the unused css in www-gitlab",2
114187422,2022-08-31 00:31:00.746,Broken Link: 404 on Learn,"## Goal
The ""Learn more about GitLab Certifications"" CTA on https://about.gitlab.com/learn/ goes to a 404 page. 


## Page(s)
Which page(s) are involved in this request?
* https://about.gitlab.com/learn/

## DCI
[DRI, Consulted, Informed](https://about.gitlab.com/handbook/people-group/directly-responsible-individuals/#dri-consulted-informed-dci)

- [ ] DRI: `GitLab Handle`
- [ ] Consulted: @justin.vetter 
- [ ] Informed: `Everyone`


## Requirements
What are the requirements for this request? Checklist below is an example of common requirements, please check all that apply and adjust as necessary:

- [x] Copy writing
- [ ] Illustration
- [ ] Custom Graphics
- [ ] Research
- [ ] Data / Analytics
- [ ] UX Design
- [x] Engineering",1
114181218,2022-08-30 20:59:42.769,Create: Overview of Partner Program Template,"## Goal
We would like to build a new template and apply it to Overview Partners page. This new template was created as part of [this issue.](https://gitlab.com/gitlab-com/marketing/digital-experience/buyer-experience/-/issues/1107)

[Figma Link](https://www.figma.com/file/bwbQtDosVskeNxsAry1Y7b/Alliances?node-id=170%3A5667)


### Jobs To Be Done
* **Situation**: *We'd like a unified landing page for finding GitLab partners*
* **Motivation**: *When users need more information we can direct the to the correct spot*
* **Outcome**: *So we can offer them the best service*

## Page(s)
Which page(s) are involved in this request?
* https://about.gitlab.com/partners/

## DCI
[DRI, Consulted, Informed](https://about.gitlab.com/handbook/people-group/directly-responsible-individuals/#dri-consulted-informed-dci)

- [ ] DRI: `GitLab Handle`
- [ ] Consulted: @laurenbarker @ctsang-ext @mlebeau
- [ ] Informed: `Everyone`

## In scope
What is within scope of this request?

- [ ] Apply new template to Partners landing page @ https://about.gitlab.com/partners/

## Requirements
What are the requirements for this request? Checklist below is an example of common requirements, please check all that apply and adjust as necessary:

- [ ] Copy writing
- [ ] Illustration
- [ ] Custom Graphics
- [ ] Research
- [ ] Data / Analytics
- [ ] UX Design
- [x] Engineering",5
114167028,2022-08-30 16:52:31.889,Remove /learn/ code from www-gitlab,"## Goal
/learn/ is now live in BE, let's rip it out of www-gitlab",1
114154320,2022-08-30 13:14:53.540,ENG: Blog Images | compress current blog images,"## Goal
We would like to reduce the page size and increase core vital scores across about.gitlab.com.  We would like to start with the blog by running a CLI script to compress all images to reduce file size.

### Jobs To Be Done
* **Situation**: *When ...*
* **Motivation**: *We want to ...*
* **Outcome**: *So we can ...*

## Page(s)
Which page(s) are involved in this request?
* `[BLog](https://about.gitlab.com/blog)`

## DCI
[DRI, Consulted, Informed](https://about.gitlab.com/handbook/people-group/directly-responsible-individuals/#dri-consulted-informed-dci)

- [ ] DRI: `GitLab Handle`
- [ ] Consulted: @justin.vetter
- [ ] Informed: `Everyone`

## In scope
What is within scope of this request?

- [ ] Run script to compress all images
- [ ] Deliverable 2

## Out of scope
What is out of scope and not part of this iteration?

- Replace or resize the images 
- Not in scope 2

## Requirements
What are the requirements for this request? Checklist below is an example of common requirements, please check all that apply and adjust as necessary:

- [ ] Copy writing
- [ ] Illustration
- [ ] Custom Graphics
- [ ] Research
- [ ] Data / Analytics
- [ ] UX Design
- [x] Engineering",8
113934452,2022-08-26 18:30:43.171,ENG: Revert deleted feature images,"## Goal
We would like to revert the deleted feature images so they can be used on the refreshed /fetures page

### Jobs To Be Done
* **Situation**: *When ...*
* **Motivation**: *We want to ...*
* **Outcome**: *So we can ...*

## Page(s)
Which page(s) are involved in this request?
* https://about.gitlab.com/features/

## DCI
[DRI, Consulted, Informed](https://about.gitlab.com/handbook/people-group/directly-responsible-individuals/#dri-consulted-informed-dci)

- [ ] DRI: @ndubord 
- [ ] Consulted: `GitLab Handle`
- [ ] Informed: @mmanunga-ext 

## In scope
What is within scope of this request?

- [ ] Revert deleted images
- [ ] Deliverable 2

## Out of scope
What is out of scope and not part of this iteration?

- Not in scope 1
- Not in scope 2

## Requirements
What are the requirements for this request? Checklist below is an example of common requirements, please check all that apply and adjust as necessary:

- [ ] Copy writing
- [ ] Illustration
- [ ] Custom Graphics
- [ ] Research
- [ ] Data / Analytics
- [ ] UX Design
- [x] Engineering",1
