issuekey,created,title,description,storypoints
26249792,2019-10-23 20:15:59.531,Remove SSLMate verification records from DNS Terraform env config + state,"Noted https://ops.gitlab.net/gitlab-com/gitlab-com-infrastructure/merge_requests/1124, the import of records from DNS into terraform config obtained SSLMate verification records, which are maintained (via API) by SSLMate itself, and should not be in terraform.

They need to be removed from the config, and from the terraform state (so we don't actually delete them from Route53)",1.0
26230890,2019-10-23 12:32:17.812,RCA: 2019-10-23: Short outage of gitlab.com,"<!--
**Please note:** if the incident relates to sensitive data, or is security related consider
labeling this issue with ~security and mark it confidential.
*** 
-->

Incident: gitlab-com/gl-infra/production#1272

## Summary

We had 2 short outages of gitlab.com related to issues with our redis cluster being caused by elevated memory usage.

- Service(s) affected : ~""Service:Web"" 
- Team attribution : 
- Minutes downtime or degradation : 14m

For calculating duration of event, use the [Platform Metrics Dashboard](https://dashboards.gitlab.net/d/ZUei7TkWz/platform-metrics?orgId=1) to look at appdex and SLO violations.

## Impact & Metrics

Start with the following:

- What was the impact of the incident?
  - all services depending on Redis didn't work during the outage, which was affecting most services.
- Who was impacted by this incident?
  - all users
- How did the incident impact customers?
  - 500 errors on gitlab.com
- How many attempts were made to access the impacted service/feature?
- How many customers were affected?
- How many customers tried to access the impacted service/feature?

Include any additional metrics that are of relevance.

Provide any relevant graphs that could help understand the impact of the incident and its dynamics.

## Detection & Response

Start with the following:

- How was the incident detected?
  - pingdom alerts and immediate reports from users
- Did alarming work as expected?
  - yes
- How long did it take from the start of the incident to its detection?
- How long did it take from detection to remediation?
- Were there any issues with the response to the incident? (i.e. bastion host used to access the service was not available, relevant team memeber wasn't page-able, ...)

## Root Cause Analysis

The purpose of this document is to understand the reasons that caused an incident, and to create mechanisms to prevent it from recurring in the future. A root cause can **never be a person**, the way of writing has to refer to the system and the context rather than the specific actors.

Follow the ""**5 whys**"" in a **blameless** manner as the core of the root-cause analysis.

For this it is necessary to start with the incident, and question why it happened. Keep iterating asking ""why?"" 5 times. While it's not a hard rule that it has to be 5 times, it helps to keep questions get deeper in finding the actual root cause. 

Keep in min that from one ""why?"" there may come more than one answer, consider following the different branches.

### Example of the usage of ""5 whys""
The vehicle will not start. (the problem)

1. Why? - The battery is dead. 
2. Why? - The alternator is not functioning.
3. Why? - The alternator belt has broken.
4. Why? - The alternator belt was well beyond its useful service life and not replaced. 
5. Why? - The vehicle was not maintained according to the recommended service schedule. (Fifth why, a root cause)

## What went well

Start with the following:

- Identify the things that worked well or as expected.
- Any additional call-outs for what went particularly well.

## What can be improved

Start with the following:

- Using the root cause analysis, explain what can be improved to prevent this from happening again.
- Is there anything that could have been done to improve the detection or time to detection?
- Is there anything that could have been done to improve the response or time to response?
- Is there an existing issue that would have either prevented this incident or reduced the impact?
- Did we have any indication or beforehand knowledge that this incident might take place?

## Corrective actions

- annotations for feature flags https://gitlab.com/gitlab-com/gl-infra/delivery/issues/525
- metrics for oom events https://gitlab.com/gitlab-com/gl-infra/infrastructure/issues/8250
- make sure we have proper memory saturation alerts for redis
- research why we didn't fail over to redis-02
- fix sending redis logs to elastic: https://gitlab.com/gitlab-com/gl-infra/infrastructure/issues/8252
- Upgrading to Redis 4 or higher would allow us to have used the `MEMORY PURGE` option to deallocate memory, but this is not available to us since we're still on Redis 3.2 https://gitlab.com/gitlab-org/omnibus-gitlab/issues/3785
- Add Redis memory fragmentation alerts https://gitlab.com/gitlab-com/runbooks/merge_requests/1547
- Add specialised Redis memory saturation metric https://gitlab.com/gitlab-com/runbooks/merge_requests/1548

## Guidelines

* [Blameless RCA Guideline](https://about.gitlab.com/handbook/infrastructure/#rca)
* [5 whys](https://en.wikipedia.org/wiki/5_Whys)",3.0
26226264,2019-10-23 10:13:46.540,Improve project restoration runbook,"While working on https://gitlab.com/gitlab-com/gl-infra/infrastructure/issues/8239 I needed to spend a lot of time to research db restoration steps that are not covered in enough detail in the [runbook](https://gitlab.com/gitlab-com/runbooks/blob/master/howto/community-project-restore.md).

We should add documentation for how to find the right base backup, which variables need to be set for the pipeline, necessary timeout settings to let the job complete, which gcp project the restore instance is running in etc.

Thankfully, part of that already is done in this branch: https://ops.gitlab.net/gitlab-com/gl-infra/gitlab-restore/postgres-gprd/tree/T4cC0re-master-patch-46363. But it's not merged and the README.md instructions contain typos (it should be `IS_RESTORE` instead of `IS_RECOVERY` and `PSQL_BACKUP_TIME` instead of `PQSL_BACKUP_TIME`).

/cc @T4cC0re",3.0
26225375,2019-10-23 09:53:42.754,Add external access to Kubernetes Prometheus,"We need a simplified way to directly access Prometheus server console (`:9090`).

1. Document/script proxy/tunneling access.
2. Create web service with auth to access.",3.0
26222269,2019-10-23 08:48:58.604,Clean up recording rules in Kubernetes,"Recording rules fail in Kubernetes due to label differences in Chef vs K8s.

1. Fix rules so they work in both.
2. Split or filter out K8s-incompatible rules.

This is breaking out one of the items from https://gitlab.com/gitlab-com/gl-infra/infrastructure/issues/8186",4.0
26170502,2019-10-21 19:16:32.644,Deploy redundant praefect nodes on gstg behind a load balancer,"Spawning from a discussion on the Praefect readiness review https://gitlab.com/gitlab-com/gl-infra/readiness/merge_requests/10:

Let's try deploying redundant praefect nodes behind a GCP load balancer to avoid introducing a new SPOF in our infrastructure.

- [x] Terraform changes: Terraform changes https://ops.gitlab.net/gitlab-com/gitlab-com-infrastructure/merge_requests/1189
- [x] chef-repo MR: https://ops.gitlab.net/gitlab-cookbooks/chef-repo/merge_requests/2167

/cc @gl-gitaly",5.0
26160887,2019-10-21 13:54:25.196,DNS Record modification for domain gitlab.design,"UX would like to run research using UX prototypes POCs and we need a domain name to host that under. We already have `gitlab.design` domain that is used to redirect to the Pyjamas site.

Can we have subdomain `research.gitlab.design` allocated for the prototypes? It would be great to add this as a DNS Zone in GCP, so that going forward, people can add second-level subdomains to this sub-domain and point their instances to them.

PS: The redirect site does not have TLS, we should fix that too while we're at it.",1.0
26121604,2019-10-19 19:14:29.528,Discuss: How to make SLO alerts for CI Runners less noisy and more actionable?,"The SLO alerts for CI Runners does not yet meet reasonable standards for an actionable alert.  We all know this, but I wanted to jot down a few specific things that would make it better.

- This alert still has an unreasonably low signal-to-noise ratio.
    - The apdex score dropped below SLO [9 times in the last 24 hours](https://dashboards.gitlab.net/d/general-service/general-service-platform-metrics?orgId=1&from=1571420700000&to=1571507100000&var-PROMETHEUS_DS=Global&var-environment=gprd&var-type=ci-runners&var-stage=main&var-sigma=2&fullscreen&panelId=7), 5 of which lasted long enough for PagerDuty to alert (see [screenshot as of 17:45 UTC](/uploads/4bb87a9e4b688fe32461617bc310bcd1/Screenshot_from_2019-10-19_10-56-08.png)).
- This alert has no runbook yet.
    - The PagerDuty alert refers to `troubleshooting/service-ci-runners.md`, but that file does not exist in the [runbooks repo](https://ops.gitlab.net/gitlab-com/runbooks/tree/master/troubleshooting).
    - The PagerDuty alert itself gives a recommended response which amounts to: look at other metrics and logs for signs of abusive behavior, high request rate, or slow responses from dependent services.  That's good generic advice for any SLO violation, but it's too vague to be actionable.
- What dashboards are useful for troubleshooting CI Runners?
    - The [""CI Runners Service"" -> ""CI"" dashboard](https://dashboards.gitlab.net/d/000000159/ci?orgId=1&refresh=5m) shows workload-related metrics:
        - queue sizes
        - percentiles of durations of recently completed jobs
        - job count by runner node
    - The [""Service Platform Metrics"" dashboard](https://dashboards.gitlab.net/d/general-service/general-service-platform-metrics?orgId=1&var-PROMETHEUS_DS=Global&var-environment=gprd&var-type=ci-runners&var-stage=main&var-sigma=2&fullscreen&panelId=7) can show the latency apdex graph when `type` is set to `ci-runners`.
- Should the SLO should be reframed in a way that makes it more achievable?
    - The following are just my initial thoughts, but I believe @andrewn is already advocating for improving this, and he probably already has much more specific ideas for improvements.
    - The CI Runner workload is largely outside of our control (e.g. user-defined jobs may take any amount of time to complete, and they may depend on external resources that are outside of both our control and visibility.  Example: Would SLO be violated by a sufficiently large number of jobs running `sleep 1000`?
    - Reframing the SLO in terms that address *only the controllable aspects* of our platform's execution of jobs would make this goal more achievable.  What working agreements do we already have for the CI Runner platform, describing to our end-users under what conditions a job execution may be aborted, such as job timeout deadline, usage quotas on machine resources (CPU, network bandwidth, max connection count, max disk IOPS, etc.)?
    - We may benefit from comparing our set of quotas to those of other platform providers (e.g. GCP, AWS, Heroku, etc.).  Other platform providers also share this problem of needing to set achievable SLOs that are resilient to abusive behavior and support auto-scaling, auto-termination, and auto-rate-limiting.
- Both auto-scaling and building automatic defensive mitigations for abuse requires having more specific goals than just a latency target for an unconstrained input workload.  More prescriptively describing the service level would also be super helpful in making concrete proposals for automating tactics to achieve these goals while also improving cost efficiency and reducing toil.

cc @gitlab-com/gl-infra",1.0
26102795,2019-10-18 19:45:22.832,Add Slack Integration to Sentry,"**Problem:** Server 500 errors are being collected by Sentry and the appropriate teams are not learning about those errors on a timely basis. 

**Solution:**
I would like to configure Sentry to have richer Slack integration. This can be done following these steps:
https://forum.sentry.io/t/how-to-configure-slack-in-your-on-prem-sentry/3463

I have already created a Slack Application as per the configuration documents. 

The 3 pieces of data to complete the integration are 

```
slack.client-id: <'client id'>
slack.client-secret: <client secret>
slack.verification-token: <verification token>
```

These values need to be added to the config.yml for Sentry via the chef recipe. 

The values for those variables are stored in 1Password Team Vault under the record 'Slack App for Secure Sentry'.

Once those values are added to config.yml for Sentry and Sentry has been restarted, the ""+Add Workspace"" on this page should work, and allow us to configure the rest of the alerting rules. 
https://sentry.gitlab.net/settings/gitlab/gitlabcom/integrations/slack/",1.0
26063153,2019-10-18 03:08:51.377,Kubernetes ingress crashing for version.gitlab.com,"The new kubernetes ingress for GitLab Services which is managed by the GitLab Kubernetes integration keeps crashing.  It's unclear whether this is a problem with the integration, with the app, or with the version of kubernetes that we are running.

The migration from AWS to GKE has been rolled back until this is solved.

The ingress pods show `0 of 1 updated replicas available - Pods have warnings`

And the Pod Logs show:

```
I1018 02:53:08.287037       7 main.go:150] Received SIGTERM, shutting down
I1018 02:53:08.287102       7 nginx.go:321] shutting down controller queues
I1018 02:53:08.287131       7 status.go:115] updating status of Ingress rules (remove)
I1018 02:53:08.303618       7 status.go:134] removing address from ingress status ([35.243.233.112])
I1018 02:53:08.308592       7 status.go:342] updating Ingress version-gitlab-com-6491770-production/production-auto-deploy status to []
I1018 02:53:08.316522       7 nginx.go:329] stopping NGINX process...
```

The ingress in question is: https://console.cloud.google.com/kubernetes/deployment/us-east1/gs-production-gke/gitlab-managed-apps/ingress-nginx-ingress-controller?project=gs-production-efd5e8&authuser=1&cloudshell=false&organizationId=769164969568&tab=overview&deployment_overview_active_revisions_tablesize=50&duration=PT1H&pod_summary_list_tablesize=20&service_list_datatablesize=20


//cc @jameslopez",2.0
